"","ppg"
"1192",76.96651
"1193",76.95918
"1194",76.93721
"1195",76.893265
"1196",76.83223
"1197",76.75899
"1198",76.717476
"1199",76.80293
"1200",77.152054
"1201",77.86008
"1202",78.94408
"1203",80.31617
"1204",81.81033
"1205",83.21416
"1206",84.34699
"1207",85.11116
"1208",85.49447
"1209",85.521324
"1210",85.262535
"1211",84.8011
"1212",84.23956
"1213",83.66338
"1214",83.14824
"1215",82.73319
"1216",82.423134
"1217",82.193634
"1218",82.01053
"1219",81.83475
"1220",81.64431
"1221",81.43923
"1222",81.22682
"1223",81.0193
"1224",80.83864
"1225",80.68238
"1226",80.550545
"1227",80.44068
"1228",80.343025
"1229",80.23804
"1230",80.12329
"1231",79.98901
"1232",79.83032
"1233",79.64965
"1234",79.4519
"1235",79.23949
"1236",79.01976
"1237",78.79759
"1238",78.57542
"1239",78.35813
"1240",78.153046
"1241",77.96506
"1242",77.79416
"1243",77.64767
"1244",77.52804
"1245",77.435265
"1246",77.36202
"1247",77.31075
"1248",77.27413
"1249",77.2546
"1250",77.2546
"1251",77.27169
"1252",77.296104
"1253",77.32052
"1254",77.34005
"1255",77.347374
"1256",77.33761
"1257",77.30587
"1258",77.261925
"1259",77.208206
"1260",77.19356
"1261",77.32052
"1262",77.7087
"1263",78.41917
"1264",79.447014
"1265",80.68726
"1266",81.969025
"1267",83.10185
"1268",83.94171
"1269",84.43244
"1270",84.58137
"1271",84.44221
"1272",84.07843
"1273",83.577934
"1274",83.0164
"1275",82.46952
"1276",81.99832
"1277",81.62478
"1278",81.3489
"1279",81.1487
"1280",80.990005
"1281",80.848404
"1282",80.70435
"1283",80.55787
"1284",80.42359
"1285",80.306404
"1286",80.216064
"1287",80.147705
"1288",80.09888
"1289",80.05005
"1290",80.00122
"1291",79.93286
"1292",79.84009
"1293",79.72289
"1294",79.569084
"1295",79.38842
"1296",79.183334
"1297",78.97337
"1298",78.76097
"1299",78.56077
"1300",78.37034
"1301",78.19699
"1302",78.03586
"1303",77.89426
"1304",77.769745
"1305",77.67208
"1306",77.59884
"1307",77.54757
"1308",77.51583
"1309",77.49386
"1310",77.47433
"1311",77.452354
"1312",77.4255
"1313",77.39376
"1314",77.37667
"1315",77.43038
"1316",77.64767
"1317",78.12131
"1318",78.90013
"1319",79.94507
"1320",81.13893
"1321",82.320595
"1322",83.3167
"1323",84.01007
"1324",84.36164
"1325",84.4007
"1326",84.18341
"1327",83.77814
"1328",83.27032
"1329",82.738075
"1330",82.2449
"1331",81.832306
"1332",81.51003
"1333",81.27322
"1334",81.092545
"1335",80.938736
"1336",80.78737
"1337",80.63355
"1338",80.479744
"1339",80.3357
"1340",80.22095
"1341",80.14038
"1342",80.09155
"1343",80.0647
"1344",80.04028
"1345",80.00122
"1346",79.9353
"1347",79.84009
"1348",79.71801
"1349",79.57641
"1350",79.415276
"1351",79.23949
"1352",79.0515
"1353",78.856186
"1354",78.66331
"1355",78.48264
"1356",78.314186
"1357",78.16037
"1358",78.02121
"1359",77.89426
"1360",77.78439
"1361",77.696495
"1362",77.63058
"1363",77.58907
"1364",77.56954
"1365",77.574425
"1366",77.58907
"1367",77.60372
"1368",77.62081
"1369",77.63058
"1370",77.62325
"1371",77.60128
"1372",77.58663
"1373",77.6379
"1374",77.86008
"1375",78.365456
"1376",79.19066
"1377",80.29908
"1378",81.56374
"1379",82.80644
"1380",83.84894
"1381",84.57404
"1382",84.947586
"1383",84.996414
"1384",84.77913
"1385",84.37629
"1386",83.87091
"1387",83.346
"1388",82.865036
"1389",82.476845
"1390",82.18631
"1391",81.988556
"1392",81.846954
"1393",81.722435
"1394",81.583275
"1395",81.4197
"1396",81.231705
"1397",81.04616
"1398",80.87526
"1399",80.73365
"1400",80.62379
"1401",80.53834
"1402",80.46754
"1403",80.39918
"1404",80.323494
"1405",80.23071
"1406",80.113525
"1407",79.96948
"1408",79.80591
"1409",79.62035
"1410",79.4226
"1411",79.217514
"1412",79.012436
"1413",78.81224
"1414",78.6218
"1415",78.44358
"1416",78.28245
"1417",78.1384
"1418",78.01633
"1419",77.91135
"1420",77.8259
"1421",77.75754
"1422",77.7087
"1423",77.67696
"1424",77.65255
"1425",77.645226
"1426",77.645226
"1427",77.65499
"1428",77.6672
"1429",77.68185
"1430",77.69161
"1431",77.696495
"1432",77.68673
"1433",77.66476
"1434",77.625694
"1435",77.58663
"1436",77.593956
"1437",77.752655
"1438",78.18967
"1439",78.97337
"1440",80.076904
"1441",81.392845
"1442",82.738075
"1443",83.90997
"1444",84.76692
"1445",85.26009
"1446",85.40658
"1447",85.25521
"1448",84.88411
"1449",84.37629
"1450",83.809875
"1451",83.25811
"1452",82.77226
"1453",82.388954
"1454",82.1033
"1455",81.900665
"1456",81.74685
"1457",81.61013
"1458",81.47097
"1459",81.31472
"1460",81.15358
"1461",80.99977
"1462",80.867935
"1463",80.75563
"1464",80.65797
"1465",80.56519
"1466",80.47486
"1467",80.37232
"1468",80.25269
"1469",80.11841
"1470",79.9646
"1471",79.783936
"1472",79.588615
"1473",79.38354
"1474",79.17357
"1475",78.96361
"1476",78.75609
"1477",78.555885
"1478",78.35813
"1479",78.170135
"1480",77.996796
"1481",77.838104
"1482",77.70138
"1483",77.57931
"1484",77.47677
"1485",77.39132
"1486",77.31808
"1487",77.25216
"1488",77.20088
"1489",77.15694
"1490",77.12764
"1491",77.10811
"1492",77.100784
"1493",77.100784
"1494",77.10567
"1495",77.11543
"1496",77.12764
"1497",77.137405
"1498",77.137405
"1499",77.1252
"1500",77.0959
"1501",77.04707
"1502",76.98604
"1503",76.93477
"1504",76.97627
"1505",77.25216
"1506",77.88937
"1507",78.92699
"1508",80.28687
"1509",81.80057
"1510",83.23857
"1511",84.39094
"1512",85.1429
"1513",85.49447
"1514",85.49203
"1515",85.21126
"1516",84.72541
"1517",84.122375
"1518",83.47784
"1519",82.86992
"1520",82.34501
"1521",81.9324
"1522",81.634544
"1523",81.42947
"1524",81.28298
"1525",81.160904
"1526",81.0486
"1527",80.94118
"1528",80.84596
"1529",80.765396
"1530",80.70435
"1531",80.655525
"1532",80.60914
"1533",80.55787
"1534",80.49195
"1535",80.40894
"1536",80.29664
"1537",80.15259
"1538",79.98657
"1539",79.80347
"1540",79.61059
"1541",79.40795
"1542",79.202866
"1543",78.99779
"1544",78.80003
"1545",78.61448
"1546",78.44114
"1547",78.28977
"1548",78.16525
"1549",78.07004
"1550",77.994354
"1551",77.943085
"1552",77.89914
"1553",77.85275
"1554",77.79904
"1555",77.738
"1556",77.68429
"1557",77.68185
"1558",77.83322
"1559",78.24338
"1560",78.96361
"1561",79.96948
"1562",81.146255
"1563",82.32792
"1564",83.32647
"1565",84.01984
"1566",84.36652
"1567",84.4007
"1568",84.16876
"1569",83.74883
"1570",83.2166
"1571",82.64286
"1572",82.08621
"1573",81.583275
"1574",81.160904
"1575",80.816666
"1576",80.54322
"1577",80.31861
"1578",80.1355
"1579",79.98657
"1580",79.869385
"1581",79.78882
"1582",79.744865
"1583",79.73754
"1584",79.744865
"1585",79.75952
"1586",79.76196
"1587",79.73998
"1588",79.68383
"1589",79.59106
"1590",79.4641
"1591",79.310295
"1592",79.13695
"1593",78.95384
"1594",78.77074
"1595",78.59495
"1596",78.42893
"1597",78.27268
"1598",78.13107
"1599",78.00412
"1600",77.891815
"1601",77.78439
"1602",77.68429
"1603",77.591515
"1604",77.51095
"1605",77.488976
"1606",77.625694
"1607",78.028534
"1608",78.751205
"1609",79.76929
"1610",80.972916
"1611",82.18387
"1612",83.22148
"1613",83.95148
"1614",84.33723
"1615",84.4007
"1616",84.20294
"1617",83.81232
"1618",83.30694
"1619",82.7625
"1620",82.24246
"1621",81.78592
"1622",81.41238
"1623",81.11696
"1624",80.88014
"1625",80.672615
"1626",80.48707
"1627",80.31373
"1628",80.15991
"1629",80.03296
"1630",79.94507
"1631",79.89624
"1632",79.88159
"1633",79.88403
"1634",79.88159
"1635",79.86206
"1636",79.81079
"1637",79.725334
"1638",79.605705
"1639",79.46166
"1640",79.30297
"1641",79.13451
"1642",78.958725
"1643",78.785385
"1644",78.61448
"1645",78.46067
"1646",78.31907
"1647",78.19211
"1648",78.0798
"1649",77.979706
"1650",77.88205
"1651",77.78439
"1652",77.69405
"1653",77.63546
"1654",77.68429
"1655",77.95529
"1656",78.538795
"1657",79.44213
"1658",80.601814
"1659",81.8616
"1660",83.02861
"1661",83.93927
"1662",84.51301
"1663",84.75227
"1664",84.701
